"data_column","site_clean","bioclim_1","bioclim_2","bioclim_3","bioclim_4","bioclim_5","bioclim_6","bioclim_7","bioclim_8","bioclim_9","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","genotype","Latitude","Longitude","SNPmatrix_column","source"
"Symstad1","Symstad1",7.51634462089712,14.8328698694464,35.960290930542,967.509967678481,30.1037956989247,-11.1441182795699,41.2479139784946,11.6763601553166,-2.67302072879331,19.8337161290323,-4.15314887602922,474.209333333333,77.174,16.375,52.3644792120325,204.734333333333,52.7706666666667,165.436,55.5,89,44.59,-104.71,80,"genotype"
"Symstad2","Symstad2",7.06513836810154,12.6037467275515,34.9528627201062,876.050290892041,26.7058709677419,-9.35339784946236,36.0592688172043,15.3807219235364,-1.65991493428913,18.3897846475508,-3.1549097892426,631.572,123.205333333333,11.452,69.4722698602459,312.085333333333,41.6406666666667,251.510666666667,42.231,90,43.87,-103.46,81,"genotype"
"Symstad3","Symstad3",7.9051708884725,13.6289442489745,36.2200022905084,899.790775794722,28.4011935483871,-9.22703225806452,37.6282258064516,16.4694352449223,-1.26788596176822,19.4497972520908,-2.72182731827251,560.03,105.460333333333,9.713,68.4596450597469,273.269666666667,36.5503333333333,226.875666666667,39.3116666666667,91,43.62,-103.47,82,"genotype"
"Urza1","Urza1",11.1274936101842,15.5730349899359,39.8387962172565,846.699141564161,33.4642795698925,-5.62584480286738,39.0901243727599,1.29609212293495,21.6488666666667,21.9756777777778,1.29609212293495,212.16,33.0413333333333,4.35466666666667,49.7800376686022,87.3993333333333,16.674,25.3146666666667,87.3993333333333,31,40.35,-119.34,83,"genotype"
"Urza2","Urza2",10.4460817544185,14.3534027128909,38.0923138342644,841.257458980984,32.2030107526882,-5.47756379928315,37.6805745519713,0.798995715403947,21.0821290322581,21.2286308841099,0.798995715403947,277.211333333333,39.2063333333333,6.06333333333333,46.6658118056663,102.596333333333,21.4573333333333,34.1873333333333,102.596333333333,93,40.84,-119.56,84,"genotype"
"Wilcox02","Wilcox2",5.58120122490598,14.8809911115231,39.1215861350048,853.707352425024,27.0398387096774,-10.9979623655914,38.0378010752688,13.8168557945042,-4.53184743012518,16.5527572281959,-4.53184743012518,312.452333333333,48.1986666666667,9.97366666666667,47.4569326308519,126.188666666667,32.8973333333333,108.255,32.8973333333333,95,41.31,-105.66,85,"genotype"
"Chynoweth01","Chynoweth1",8.7174037131204,14.5744914724473,34.9795287728125,973.204131089614,31.0960752688172,-10.5696989247312,41.6657741935484,15.5697001792115,20.8605272401434,20.8605272401434,-3.40113030880873,283.095666666667,37.456,14.854,29.5466197857932,95.5066666666667,54.5093333333333,54.5093333333333,60.57,26,39.76604,-109.5635,86,"genotype"
"Chynoweth02","Chynoweth2",8.60638357533503,16.718305234873,35.6930400249765,1067.3045432681,33.1191935483871,-13.7199247311828,46.8391182795699,15.8706931899642,21.4741353046595,21.4741353046595,-5.24511593760851,229.276333333333,31.9406666666667,11.8863333333333,34.5293392495725,81.44,43.973,43.973,44.1746666666667,96,40.29092,-109.68361,87,"genotype"
"Chynoweth05","Chynoweth5",8.27395500975511,15.8223927834278,35.4220821416612,1026.89104452548,32.0797311827957,-12.5884301075269,44.6681612903226,15.3609215053763,-3.47216117084827,20.8587157706093,-4.82073826444433,253.874333333333,34.7176666666667,15.324,30.7109202672866,86.716,49.2806666666667,51.99,49.947,98,40.480805,-109.438229,88,"genotype"
"Chynoweth07","Chynoweth7",7.98449297021676,15.5366086092131,35.5813865456741,1002.71342482687,31.3391397849462,-12.3258494623656,43.6649892473118,14.9783952807646,-3.40802909199522,20.3332738351254,-4.7158486687148,267.621,35.9393333333333,15.8283333333333,30.471927945063,91.6766666666667,50.4243333333333,55.2716666666667,51.9576666666667,99,40.533605,-109.523564,89,"genotype"
"Chynoweth08","Chynoweth8",5.39329842226224,14.6367067294054,36.9876540367194,894.095569233997,26.8762043010753,-12.6956666666667,39.5718709677419,11.8292710274791,-4.36815764635603,16.6727688769415,-5.52822160366309,409.511333333333,48.955,25.5253333333333,25.2456264682757,128.928666666667,79.8156666666667,85.5776666666667,82.5223333333333,100,40.640878,-109.48689,90,"genotype"
"Germino BOP 01","GerminoBOP1",11.0776846753595,13.6968348407402,36.2492331251006,874.316261921822,33.2396451612903,-4.54552616487455,37.7851713261649,1.24991379928315,21.8257687574671,22.123983572282,0.694591449347011,370.024666666667,55.4586666666667,4.65866666666667,51.816167840478,141.084666666667,22.548,33.795,135.229,104,43.4720833,-116.2338306,91,"genotype"
"Mancillas01","Mancillas1",13.7169322788107,15.1194981994986,44.3793618057273,730.361441831128,30.8492222222222,-3.2195376344086,34.0687598566308,21.6754831541219,13.4956228793309,22.6807850059737,4.6772888523992,396.022,84.3576666666667,9.98233333333333,72.069605284802,211.449333333333,37.3026666666667,185.126333333333,65.6336666666667,150,32.368,-106.56,106,"genotype"
"Davies03","Davies3",5.34017823868084,10.5719024645255,34.995512819426,712.372905112128,23.272935483871,-6.93637311827957,30.2093086021505,3.10731296296296,14.8786728195938,14.8786728195938,-2.34376040250484,763.166666666667,101.729333333333,8.99166666666667,53.2447255209433,273.068666666667,39.726,39.726,272.356333333333,103,42.68,-118.68,108,"genotype"
