site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,site,lat,lon
Symstad1 2022,8.720845027175992,15.056582876623644,36.8548731449612,963.8309168177301,30.822247311827958,-10.031462365591398,40.85370967741936,17.957956033452806,-1.4406190561529268,20.9770743130227,-2.877473535262579,496.73,91.20266666666667,10.652666666666667,66.67696730538565,241.43,35.57966666666667,194.52599999999998,38.71466666666666,Symstad1 2022,43.35653,-103.541
Symstad2 2022,8.788519890008592,15.16120493589291,36.948209037845935,966.6889090476653,30.983494623655915,-10.050172043010752,41.03366666666667,18.05936833930705,-1.4187232974910395,21.07480203106332,-2.8560392571699302,488.075,89.536,10.485,66.3004974564723,236.71666666666664,35.154333333333334,190.88466666666667,38.25033333333333,Symstad2 2022,43.3562,-103.54046
TB FIRE 2022,7.78595125116973,15.370512248324122,36.89697061845862,968.2923696657629,30.97921505376344,-10.678709677419356,41.657924731182796,11.851392532855437,-2.4286037037037036,20.220413739545997,-3.7836278507571612,351.47733333333326,68.64566666666667,6.586666666666667,63.82849933516511,165.853,25.943333333333335,122.50200000000001,28.307000000000002,TB FIRE 2022,43.31193,-105.125329
TB FIRE 2023,7.78595125116973,15.370512248324122,36.89697061845862,968.2923696657629,30.97921505376344,-10.678709677419356,41.657924731182796,11.851392532855437,-2.4286037037037036,20.220413739545997,-3.7836278507571612,351.47733333333326,68.64566666666667,6.586666666666667,63.82849933516511,165.853,25.943333333333335,122.50200000000001,28.307000000000002,TB FIRE 2023,43.31193,-105.125329
TB LC Control 2022,7.818471905843354,15.42333491673582,36.93451910240946,970.0356907116511,31.05701075268817,-10.70158064516129,41.75859139784946,11.900103524492232,-2.4193845878136195,20.271567025089606,-3.7778516239384143,347.04699999999997,67.75266666666667,6.458333333333333,64.08682310427375,164.90266666666668,26.030333333333335,120.41966666666667,28.248666666666665,TB LC Control 2022,43.327853,-105.112892
TB LC Control 2023,7.818471905843354,15.42333491673582,36.93451910240946,970.0356907116511,31.05701075268817,-10.70158064516129,41.75859139784946,11.900103524492232,-2.4193845878136195,20.271567025089606,-3.7778516239384143,347.04699999999997,67.75266666666667,6.458333333333333,64.08682310427375,164.90266666666668,26.030333333333335,120.41966666666667,28.248666666666665,TB LC Control 2023,43.327853,-105.112892
TB PRAIRIE DOG 2022,7.80160339460806,15.403800406168525,36.910559395665224,969.7248055660706,31.03368817204301,-10.699086021505376,41.73277419354839,11.878439426523299,-2.430959557945042,20.251312126642773,-3.7904768038855643,348.023,68.296,6.441666666666666,64.04486351312254,164.883,25.949666666666666,120.85533333333333,28.119,TB PRAIRIE DOG 2022,43.338797,-105.133254
TB PRAIRIE DOG 2023,7.80160339460806,15.403800406168525,36.910559395665224,969.7248055660706,31.03368817204301,-10.699086021505376,41.73277419354839,11.878439426523299,-2.430959557945042,20.251312126642773,-3.7904768038855643,348.023,68.296,6.441666666666666,64.04486351312254,164.883,25.949666666666666,120.85533333333333,28.119,TB PRAIRIE DOG 2023,43.338797,-105.133254
Woodruff 2022,5.318818649726916,15.539972086489398,38.3378316000391,913.1786384688633,28.098182795698925,-12.436118279569893,40.534301075268814,4.6309153524492235,16.65411451612903,16.65411451612903,-6.012860466803208,362.11866666666674,46.184333333333335,15.697666666666667,23.54656514511549,111.77100000000002,65.843,65.843,89.37533333333333,Woodruff 2022,41.56042,-111.172565
Woodruff 2023,5.318818649726916,15.539972086489398,38.3378316000391,913.1786384688633,28.098182795698925,-12.436118279569893,40.534301075268814,4.6309153524492235,16.65411451612903,16.65411451612903,-6.012860466803208,362.11866666666674,46.184333333333335,15.697666666666667,23.54656514511549,111.77100000000002,65.843,65.843,89.37533333333333,Woodruff 2023,41.56042,-111.172565
