"Category","ID","Latitude","Longitude","Date","SMAP_Tile","SPL3SMP_E_006_Line_Y_9km","SPL3SMP_E_006_Sample_X_9km","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_dca","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scah","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scav","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_clay_fraction_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_dca_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_error_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scah_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scav_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_surface_temperature_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_vegetation_water_content_pm"
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-31","h00v00",255,674,0.1685184,0.1685184,0.1023186,0.1464217,278.8459778,0.2238095,0.165014,-9999,0.165014,0.0937743,0.1416583,281.0214233,0.48542
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-01","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1830033,-9999,0.1830033,0.1124139,0.1587203,280.3855896,0.4895201
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-02","h00v00",255,674,0.1442807,0.1442807,0.0765577,0.1256166,276.9144897,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-03","h00v00",255,674,0.137328,0.137328,0.059815,0.1202147,276.7362976,0.2238095,0.1881073,-9999,0.1881073,0.1080918,0.1592889,279.9560242,0.4977694
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-04","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-05","h00v00",255,674,0.1699052,0.1699052,0.0916307,0.1439743,277.0316772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-06","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1876853,-9999,0.1876853,0.1132139,0.1615726,282.9848022,0.5198256
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-07","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-08","h00v00",255,674,0.1747617,0.1747617,0.1016667,0.1497858,280.0719299,0.2238095,0.1868639,-9999,0.1868639,0.1110602,0.1602064,288.1314392,0.5379261
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-09","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1880905,-9999,0.1880905,0.1037396,0.1575826,288.8946533,0.5471087
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-10","h00v00",255,674,0.1536816,0.1536816,0.0874774,0.1337044,282.4577637,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-11","h00v00",255,674,0.1413582,0.1413582,0.0709631,0.1234662,283.3528442,0.2238095,0.1680334,-9999,0.1680334,0.0959291,0.1443087,291.9276733,0.5654824
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-12","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-13","h00v00",255,674,0.1276273,0.1276273,0.0638345,0.1134527,279.3172607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-04-14","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.126854,-9999,0.126854,0.05824,0.11326,283.513092,0.5934921
