site,genotype,lon,lat,ann.mean.tmp,mean.diurn.rng,isotherm,tmp.seas,max.tmp.wrm.m,min.tmp.cld.m,tmp.ann.rng,mean.tmp.wet.q,mean.tmp.dry.q,mean.tmp.wrm.q,mean.tmp.cld.q,ann.prc,prc.wet.m,prc.dry.m,prc.seas,prc.wet.q,prc.dry.q,prc.wrm.q,prc.cld.q
Lavin01,59,-109.07,44.68,6.150000095367432,14.199999809265137,0.3417467772960663,975.4000244140625,28.549999237060547,-13.050000190734863,41.599998474121094,15.949999809265137,-6.349999904632568,18.850000381469727,-6.349999904632568,279.6000061035156,62.099998474121094,7.900000095367432,65,134.10000610351562,25.5,93.5,25.5
Lavin02,60,-111.03,45.67,7.050000190734863,12.899999618530273,0.33549779653549194,890.5,28.350000381469727,-10.149999618530273,38.5,10.649999618530273,-3.950000047683716,18.75,-3.950000047683716,545.20001220703125,94.5999984741211,21.600000381469727,46.79999923706055,234.60000610351562,71.5,162.5,71.5
Lee1,61,-116.0163889,36.82340833,18.850000381469727,13.300000190734863,0.3599819242954254,889.9000244140625,38.04999923706055,1.149999976158142,36.900001525878906,7.550000190734863,23.049999237060547,30.25,7.550000190734863,136.8000030517578,18.600000381469727,2.9000000953674316,42,53,16.899999618530273,25.200000762939453,53
Lee2,62,-115.7845,35.3984,17.549999237060547,12.800000190734863,0.37173911929130554,813.5,35.54999923706055,1.0499999523162842,34.5,27.950000762939453,20.850000381469727,27.950000762939453,7.349999904632568,243.3000030517578,33.599998474121094,4.099999904632568,43.599998474121094,81.4000015258789,23.100000381469727,81.4000015258789,78.5
Lee3,63,-115.8987,36.5247,16.950000762939453,12.399999618530273,0.35452380776405334,849.9000244140625,35.45000076293945,0.44999998807907104,35,6.150000095367432,20.75,27.75,6.150000095367432,294.8999938964844,39.099998474121094,5.099999904632568,45.20000076293945,102.5999984741211,28.799999237060547,81.19999694824219,102.5999984741211
Lee4,64,-115.52,35.4564,16.149999618530273,12.199999809265137,0.3619329333305359,810.20001220703125,34.04999923706055,0.25,33.79999923706055,26.450000762939453,19.549999237060547,26.450000762939453,6.050000190734863,299.29998779296875,46.599998474121094,6.099999904632568,46.400001525878906,110.5999984741211,28.299999237060547,91.5999984741211,90.5999984741211
Leger 1,65,-119.84,39.49,12.149999618530273,13.100000381469727,0.35620471835136414,846.4000244140625,33.25,-3.549999952316284,36.79999923706055,1.9500000476837158,23.049999237060547,23.350000381469727,1.9500000476837158,304.1000061035156,50.29999923706055,5.699999809265137,63.900001525878906,137.60000610351562,22,22.100000381469727,137.60000610351562
Maron1,66,-114.03,46.68,9.75,12.899999618530273,0.33013641834259033,873.5,30.75,-8.350000381469727,39.099998474121094,13.149999618530273,20.850000381469727,21.049999237060547,-1.25,312.6000061035156,41.79999923706055,18,25.399999618530273,104.80000305175781,65.9000015258789,80.69999694824219,70.4000015258789
Maron2,67,-113.23,46.64,6.849999904632568,12.800000190734863,0.3254877030849457,895.70001220703125,27.950000762939453,-11.350000381469727,39.29999923706055,15.649999618530273,-4.449999809265137,18.350000381469727,-4.449999809265137,349.3999938964844,55.400001525878906,16.100000381469727,41.20000076293945,140.3000030517578,53.400001525878906,117.0999984741211,53.400001525878906
Porensky1,68,-105.18,43.24,10.149999618530273,13.100000381469727,0.3274853825569153,952.0999755859375,33.349998474121094,-6.550000190734863,39.900001525878906,14.050000190734863,-1.649999976158142,22.950000762939453,-1.649999976158142,337.1000061035156,67.19999694824219,7.900000095367432,60.79999923706055,159.60000610351562,30.799999237060547,112.30000305175781,30.799999237060547
Porensky12,70,-105.1,43.55,8.850000381469727,13.100000381469727,0.32915621995925903,954.0999755859375,31.950000762939453,-7.949999809265137,39.900001525878906,12.75,-3.1500000953674316,21.549999237060547,-3.1500000953674316,414,80.30000305175781,8.800000190734863,59.79999923706055,191.5,35.29999923706055,142,35.29999923706055
Porensky17,69,-105.13,43.34,10.050000190734863,13.100000381469727,0.32872694730758667,951.5,33.150001525878906,-6.650000095367432,39.79999923706055,13.949999809265137,-1.850000023841858,22.75,-1.850000023841858,352,69.4000015258789,7.599999904632568,60.900001525878906,165.39999389648438,30.700000762939453,120.4000015258789,30.700000762939453
Porensky30,71,-105.27,40.63,7.349999904632568,13.800000190734863,0.3788919448852539,817.20001220703125,27.850000381469727,-8.550000190734863,36.400001525878906,10.75,-2.8499999046325684,17.950000762939453,-2.8499999046325684,510.5,92.4000015258789,12.399999618530273,54.70000076293945,220.1999969482422,49.599998474121094,172.3000030517578,49.599998474121094
Pyke1,75,-120.1941407,44.60203143,11.25,12.300000190734863,0.3612745404243469,768.4000244140625,31.149999618530273,-2.8499999046325684,34,13.550000190734863,21.549999237060547,21.549999237060547,1.9500000476837158,317.29998779296875,40.099998474121094,14.100000381469727,30.100000381469727,99.19999694824219,44.29999923706055,44.29999923706055,86.4000015258789
Pyke10,77,-119.3672737,46.74878715,13.75,12.300000190734863,0.31091371178627014,928.5999755859375,35.75,-3.6500000953674316,39.400001525878906,2.6500000953674316,25.25,25.549999237060547,1.9500000476837158,217,35,4.800000190734863,50.900001525878906,95.0999984741211,19.200000762939453,24.899999618530273,84.5
Pyke12,78,-119.3673257,46.749974,13.649999618530273,12.199999809265137,0.3118622303009033,921.79998779296875,35.54999923706055,-3.6500000953674316,39.20000076293945,2.6500000953674316,25.149999618530273,25.350000381469727,1.9500000476837158,222.3000030517578,35.79999923706055,4.900000095367432,50.70000076293945,97.19999694824219,19.700000762939453,25.600000381469727,86.30000305175781
Pyke15,79,-119.3533784,46.74869655,13.649999618530273,12.300000190734863,0.3133503496646881,919.70001220703125,35.54999923706055,-3.6500000953674316,39.20000076293945,2.6500000953674316,25.149999618530273,25.350000381469727,1.9500000476837158,218.6999969482422,35.20000076293945,4.800000190734863,50.70000076293945,95.5,19.299999237060547,25.100000381469727,84.9000015258789
Pyke16,80,-119.3482241,46.74939669,13.649999618530273,12.300000190734863,0.31292515993118286,916.5999755859375,35.54999923706055,-3.6500000953674316,39.20000076293945,2.6500000953674316,25.049999237060547,25.25,1.9500000476837158,220,35.400001525878906,4.800000190734863,50.79999923706055,96.0999984741211,19.299999237060547,25.200000762939453,85.4000015258789
Pyke17,81,-119.3504083,46.74994569,13.550000190734863,12.300000190734863,0.31410259008407593,914.20001220703125,35.349998474121094,-3.6500000953674316,39,2.6500000953674316,24.950000762939453,25.149999618530273,1.9500000476837158,224,36,4.900000095367432,50.70000076293945,97.80000305175781,19.799999237060547,25.700000762939453,86.80000305175781
